# zone void0 void1
597 -1 -1
598 -1 -1
599 -1 -1
600 -1 -1
601 -1 -1
602 -1 -1
603 -1 -1
604 489 489
605 -1 -1
606 -1 -1
607 -1 -1
608 -1 -1
609 -1 -1
610 -1 -1
611 490 490
612 -1 -1
613 491 491
614 -1 -1
615 -1 -1
616 -1 -1
617 492 492
618 -1 -1
619 -1 -1
620 493 493
621 -1 -1
622 -1 -1
623 -1 -1
624 -1 -1
625 -1 -1
626 494 494
627 495 495
628 496 496
629 -1 -1
630 -1 -1
631 -1 -1
632 -1 -1
633 -1 -1
634 -1 -1
635 497 497
636 498 498
637 -1 -1
638 499 499
639 -1 -1
640 -1 -1
641 -1 -1
642 -1 -1
643 -1 -1
644 -1 -1
645 -1 -1
646 -1 -1
647 -1 -1
648 500 500
649 -1 -1
650 -1 -1
651 -1 -1
652 501 501
653 502 502
654 -1 -1
655 -1 -1
656 503 503
657 -1 -1
658 -1 -1
659 -1 -1
660 504 504
661 -1 -1
662 -1 -1
663 -1 -1
664 505 505
665 506 506
666 -1 -1
667 -1 -1
668 507 507
669 -1 -1
670 508 508
671 -1 -1
672 -1 -1
673 -1 -1
674 -1 -1
675 -1 -1
676 -1 -1
677 -1 -1
678 -1 -1
679 -1 -1
680 -1 -1
681 509 509
682 -1 -1
683 -1 -1
684 -1 -1
685 -1 -1
686 -1 -1
687 510 510
688 -1 -1
689 -1 -1
690 -1 -1
691 -1 -1
692 -1 -1
693 511 511
694 -1 -1
695 -1 -1
696 -1 -1
697 -1 -1
698 -1 -1
699 -1 -1
700 -1 -1
701 -1 -1
702 -1 -1
703 -1 -1
704 -1 -1
705 -1 -1
706 -1 -1
707 -1 -1
708 -1 -1
709 -1 -1
710 -1 -1
711 512 512
712 -1 -1
713 -1 -1
714 -1 -1
715 -1 -1
716 -1 -1
717 -1 -1
718 -1 -1
719 -1 -1
720 -1 -1
721 -1 -1
722 -1 -1
723 -1 -1
724 -1 -1
725 -1 -1
726 513 513
727 514 514
728 -1 -1
729 -1 -1
730 515 515
731 -1 -1
732 -1 -1
733 -1 -1
734 -1 -1
735 -1 -1
736 -1 -1
737 -1 -1
738 -1 -1
739 -1 -1
740 -1 -1
741 -1 -1
742 -1 -1
743 -1 -1
744 -1 -1
745 -1 -1
746 -1 -1
747 -1 -1
748 516 516
749 -1 -1
750 -1 -1
751 -1 -1
752 -1 -1
753 -1 -1
754 -1 -1
755 -1 -1
756 -1 -1
757 -1 -1
758 -1 -1
759 -1 -1
760 -1 -1
761 -1 -1
762 -1 -1
763 -1 -1
764 -1 -1
765 -1 -1
766 517 517
767 -1 -1
768 -1 -1
769 -1 -1
770 -1 -1
771 -1 -1
772 -1 -1
773 -1 -1
774 -1 -1
775 -1 -1
776 -1 -1
777 -1 -1
778 -1 -1
779 -1 -1
780 -1 -1
781 -1 -1
782 -1 -1
783 -1 -1
784 -1 -1
785 -1 -1
786 -1 -1
787 -1 -1
788 -1 -1
789 -1 -1
790 -1 -1
791 -1 -1
792 -1 -1
793 -1 -1
794 -1 -1
795 -1 -1
796 -1 -1
797 -1 -1
798 -1 -1
799 -1 -1
800 -1 -1
801 -1 -1
802 -1 -1
803 -1 -1
804 -1 -1
805 -1 -1
806 -1 -1
807 -1 -1
808 -1 -1
809 -1 -1
810 -1 -1
811 -1 -1
812 -1 -1
813 -1 -1
814 -1 -1
815 -1 -1
816 -1 -1
817 -1 -1
818 -1 -1
819 -1 -1
820 -1 -1
821 -1 -1
822 -1 -1
823 -1 -1
824 -1 -1
825 -1 -1
826 -1 -1
827 -1 -1
828 -1 -1
829 -1 -1
830 -1 -1
831 -1 -1
832 -1 -1
833 -1 -1
834 -1 -1
835 -1 -1
836 -1 -1
837 -1 -1
838 -1 -1
839 -1 -1
840 -1 -1
841 -1 -1
842 -1 -1
843 -1 -1
844 -1 -1
845 -1 -1
846 -1 -1
847 -1 -1
848 -1 -1
849 -1 -1
850 -1 -1
851 -1 -1
852 -1 -1
853 -1 -1
854 -1 -1
855 -1 -1
856 -1 -1
857 -1 -1
858 -1 -1
859 -1 -1
860 -1 -1
861 -1 -1
862 -1 -1
863 -1 -1
864 -1 -1
865 -1 -1
866 -1 -1
867 -1 -1
868 -1 -1
869 -1 -1
870 -1 -1
871 -1 -1
872 -1 -1
873 -1 -1
874 -1 -1
875 -1 -1
876 -1 -1
877 -1 -1
878 -1 -1
879 -1 -1
880 -1 -1
881 -1 -1
882 -1 -1
883 -1 -1
884 -1 -1
885 -1 -1
886 -1 -1
887 -1 -1
888 -1 -1
889 -1 -1
890 -1 -1
891 -1 -1
892 -1 -1
893 -1 -1
894 -1 -1
895 -1 -1
896 -1 -1
897 -1 -1
898 -1 -1
899 -1 -1
900 -1 -1
901 -1 -1
902 -1 -1
903 -1 -1
904 -1 -1
905 -1 -1
906 -1 -1
907 -1 -1
908 -1 -1
909 -1 -1
910 -1 -1
911 -1 -1
912 -1 -1
913 -1 -1
914 -1 -1
915 -1 -1
916 -1 -1
917 -1 -1
918 -1 -1
919 -1 -1
920 -1 -1
921 -1 -1
922 -1 -1
923 -1 -1
924 -1 -1
925 -1 -1
926 -1 -1
927 -1 -1
928 -1 -1
929 -1 -1
930 -1 -1
931 -1 -1
932 -1 -1
933 -1 -1
934 -1 -1
935 -1 -1
936 -1 -1
937 -1 -1
938 -1 -1
939 -1 -1
940 -1 -1
941 -1 -1
942 -1 -1
943 -1 -1
944 -1 -1
945 -1 -1
946 -1 -1
947 -1 -1
948 -1 -1
949 -1 -1
950 -1 -1
951 -1 -1
952 -1 -1
953 -1 -1
954 -1 -1
955 -1 -1
956 -1 -1
957 -1 -1
958 -1 -1
959 -1 -1
960 -1 -1
961 -1 -1
962 -1 -1
963 -1 -1
964 -1 -1
965 -1 -1
966 -1 -1
967 -1 -1
968 -1 -1
969 -1 -1
970 -1 -1
971 -1 -1
972 -1 -1
973 -1 -1
974 -1 -1
975 -1 -1
976 -1 -1
977 -1 -1
978 -1 -1
979 -1 -1
980 -1 -1
981 -1 -1
982 -1 -1
983 -1 -1
984 -1 -1
985 -1 -1
986 -1 -1
987 -1 -1
988 -1 -1
989 -1 -1
990 -1 -1
991 -1 -1
992 -1 -1
993 -1 -1
994 -1 -1
995 -1 -1
996 -1 -1
997 -1 -1
998 -1 -1
999 -1 -1
1000 -1 -1
1001 -1 -1
1002 -1 -1
1003 -1 -1
1004 -1 -1
1005 -1 -1
1006 -1 -1
1007 -1 -1
1008 -1 -1
1009 -1 -1
1010 -1 -1
1011 -1 -1
1012 -1 -1
1013 -1 -1
1014 -1 -1
1015 -1 -1
1016 -1 -1
1017 -1 -1
1018 -1 -1
1019 -1 -1
1020 -1 -1
1021 -1 -1
1022 -1 -1
1023 -1 -1
1024 -1 -1
1025 -1 -1
1026 -1 -1
1027 -1 -1
1028 -1 -1
1029 -1 -1
1030 -1 -1
1031 -1 -1
1032 -1 -1
1033 -1 -1
1034 -1 -1
1035 -1 -1
1036 -1 -1
